Location,Shift Type,Start,Finish,Position
Teacher,Regular,12/12/2016T16:30:00,12/12/2016T18:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:00:00,12/12/2016T19:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T17:30:00,12/12/2016T19:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T01:00:00,12/13/2016T03:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T01:00:00,12/13/2016T03:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T01:30:00,12/13/2016T03:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T01:30:00,12/13/2016T03:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T02:00:00,12/13/2016T04:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T02:00:00,12/13/2016T04:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T02:30:00,12/13/2016T04:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T02:30:00,12/13/2016T04:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T03:00:00,12/13/2016T05:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T03:00:00,12/13/2016T05:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T03:30:00,12/13/2016T05:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T03:30:00,12/13/2016T05:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T04:00:00,12/13/2016T06:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T04:00:00,12/13/2016T06:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T04:30:00,12/13/2016T06:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T04:30:00,12/13/2016T06:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T05:00:00,12/13/2016T07:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T05:00:00,12/13/2016T07:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T05:30:00,12/13/2016T07:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T05:30:00,12/13/2016T07:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T06:00:00,12/13/2016T08:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T06:00:00,12/13/2016T08:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T06:00:00,12/13/2016T08:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T06:30:00,12/13/2016T08:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T06:30:00,12/13/2016T08:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T06:30:00,12/13/2016T08:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T06:30:00,12/13/2016T08:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T07:00:00,12/13/2016T09:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T07:00:00,12/13/2016T09:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T07:00:00,12/13/2016T09:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T07:00:00,12/13/2016T09:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T07:00:00,12/13/2016T09:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T07:00:00,12/13/2016T09:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T07:00:00,12/13/2016T09:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T07:30:00,12/13/2016T09:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T07:30:00,12/13/2016T09:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:00:00,12/13/2016T10:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:00:00,12/13/2016T10:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:00:00,12/13/2016T10:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:00:00,12/13/2016T10:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:30:00,12/13/2016T10:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:30:00,12/13/2016T10:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:30:00,12/13/2016T10:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:30:00,12/13/2016T10:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:30:00,12/13/2016T10:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:30:00,12/13/2016T10:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:30:00,12/13/2016T10:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:30:00,12/13/2016T10:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:30:00,12/13/2016T10:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T08:30:00,12/13/2016T10:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:00:00,12/13/2016T11:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:30:00,12/13/2016T11:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/13/2016T09:30:00,12/13/2016T11:30:00,LP2 - Classic Intermediate
